roleName,actionName
AMP Admin,create unit
AMP Admin,list units
AMP Admin,view unit
AMP Admin,edit unit
AMP Admin,delete unit
AMP Admin,create collection
AMP Admin,list collections
AMP Admin,view collection
AMP Admin,edit collection
AMP Admin,activate collection
AMP Admin,delete collection
AMP Admin,create item
AMP Admin,list items
AMP Admin,view item
AMP Admin,edit item
AMP Admin,delete item
AMP Admin,add content file
AMP Admin,list content files
AMP Admin,view content file
AMP Admin,edit content file
AMP Admin,delete  content file
AMP Admin,add unit supplement
AMP Admin,add collection supplement
AMP Admin,add item supplement
AMP Admin,add primaryfile supplement
AMP Admin,move unit supplement
AMP Admin,move collection supplement
AMP Admin,move item supplement
AMP Admin,move primaryfile supplement
AMP Admin,list supplements
AMP Admin,view supplement
AMP Admin,edit supplement
AMP Admin,delete  supplement
AMP Admin,list workflow results
AMP Admin,view workflow result
AMP Admin,edit workflow result
AMP Admin,delete workflow result
AMP Admin,export workflow results
AMP Admin,create workflow
AMP Admin,list workflows
AMP Admin,view workflow
AMP Admin,edit workflow
AMP Admin,restrict workflow
AMP Admin,delete workflow
AMP Admin,run workflow
AMP Admin,ingest batch
AMP Admin,retrieve bags
AMP Admin,deliver bag
AMP Admin,run evaluation
AMP Admin,create role
AMP Admin,view role
AMP Admin,edit role
AMP Admin,delete role
AMP Admin,edit permissions
AMP Admin,create role assignment
AMP Admin,list role assignments
AMP Admin,view role assignment
AMP Admin,edit role assignment
AMP Admin,delete role assignment
Unit Manager,list units
Unit Manager,view unit
Unit Manager,edit unit
Unit Manager,delete unit
Unit Manager,create collection
Collection Manager,view collection
Collection Manager,edit collection
Collection Manager,delete collection
Collection Manager,create item
Unit Viewer,view collection
