roleName,actionName
Unit Viewer,view unit
Unit Viewer,view collection
Unit Viewer,view item
Unit Viewer,view content file
Unit Viewer,view supplement
Unit Viewer,view workflow
Unit Viewer,view permission
Collection Helper,create item
Collection Helper,edit item
Collection Helper,add content file
Collection Helper,edit content file
Collection Helper,run unrestricted workflow
Collection Helper,view workflow result
Collection Helper,edit workflow result
Collection Staff,edit collection
Collection Staff,activate collection
Collection Staff,delete item
Collection Staff,delete item
Collection Staff,create item
Collection Staff,edit item
Collection Staff,delete item
Collection Staff,add content file
Collection Staff,edit content file
Collection Staff,delete  content file
Collection Manager,edit collection
Collection Manager,activate collection
Collection Manager,delete collection
Collection Manager,create item
Collection Manager,edit item
Collection Manager,delete item
Collection Manager,add content file
Collection Manager,edit content file
Collection Manager,delete  content file
Unit Manager,edit unit
Unit Manager,delete unit
Unit Manager,create collection
AMP Admin,edit role assignment
